State,District,Average Household Income (INR/year),Government Subsidy (INR),Competitor Price (INR),Battery Cost (INR),Battery Lifespan (years),Charging Infrastructure (Stations per 100 sq km),Electricity Cost (INR/kWh),Scooter Range (km per charge),Max Speed (km/h),"Loan Availability (1 = Yes, 0 = No)",Rural Road Quality (1-5 scale),Fuel Price (INR/liter)
Mizoram,Aizawl,214521.27,,88368.0,21989,3,2,7.34,74,67,1,2,101.34
Uttar Pradesh,Kanpur,108739.36,20000.0,84321.0,29595,4,1,4.51,102,76,0,2,105.43
Haryana,Ambala,132080.28,15000.0,79118.0,38431,6,2,6.65,98,65,1,1,108.66
Manipur,Bishnupur,55258.28,15000.0,66280.0,19678,6,1,6.65,95,66,1,3,96.9
Haryana,Faridabad,300000.0,15000.0,59508.0,27181,7,0,5.64,99,74,1,5,98.22
Mizoram,,142520.73,15000.0,57134.0,22269,7,1,3.54,93,70,1,3,106.39
Kerala,Kochi,201936.39,,80909.0,26481,4,1,4.68,103,62,1,3,96.37
Uttarakhand,Dehradun,88091.94,10000.0,82474.0,37407,7,1,3.66,95,77,0,2,95.39
Haryana,Panipat,,15000.0,91414.0,18367,4,0,5.13,130,54,0,4,99.9
Tripura,Kailashahar,242879.54,15000.0,83425.0,24109,5,1,5.78,74,61,1,2,99.72
Maharashtra,Nagpur,146985.96,10000.0,90763.0,26367,7,1,5.25,49,71,1,1,102.23
Bihar,Muzaffarpur,99455.93,20000.0,73041.0,28444,7,1,6.28,67,78,0,5,98.75
Andhra Pradesh,Vijayawada,143060.18,10000.0,86562.0,33952,6,1,4.44,64,64,1,4,95.13
Andhra Pradesh,Visakhapatnam,50000.0,10000.0,59977.0,22227,4,1,3.81,95,52,1,4,108.71
Odisha,Cuttack,148105.66,20000.0,74097.0,27563,6,1,4.18,83,75,1,4,109.66
Meghalaya,Tura,191048.36,10000.0,47527.0,39405,7,4,4.57,116,67,1,5,109.89
Maharashtra,Nashik,,15000.0,75473.0,37305,5,1,4.47,100,58,0,5,109.54
Rajasthan,,135793.02,20000.0,93371.0,37435,3,1,5.55,92,65,1,2,107.26
Meghalaya,Nongstoin,176378.41,15000.0,76053.0,24563,4,0,7.09,105,63,1,1,103.72
Chhattisgarh,Raipur,180201.24,15000.0,85827.0,35350,4,0,4.93,89,64,1,5,102.87
Himachal Pradesh,Kullu,67004.72,10000.0,79097.0,39229,5,2,3.84,115,58,1,5,95.94
Uttar Pradesh,Lucknow,154441.15,15000.0,66443.0,29367,5,1,6.78,66,60,1,4,108.21
West Bengal,Siliguri,271799.26,15000.0,72200.0,27461,4,1,3.56,82,74,1,5,98.44
Arunachal Pradesh,Tawang,83249.19,10000.0,92695.0,30724,4,3,5.56,97,57,1,3,106.13
Nagaland,Tuensang,145729.06,15000.0,85750.0,16886,5,0,6.74,103,72,1,4,105.46
Goa,Mapusa,247087.31,15000.0,65736.0,24708,5,4,5.77,108,62,0,4,106.27
Himachal Pradesh,Shimla,,15000.0,54187.0,22704,5,0,7.22,125,58,1,4,96.88
Andhra Pradesh,Nellore,124330.17,10000.0,78102.0,34263,7,0,3.62,103,61,1,1,101.64
Himachal Pradesh,Shimla,160306.77,15000.0,66271.0,31544,4,1,7.27,115,62,0,2,105.62
Tripura,,149894.42,15000.0,72338.0,26054,4,2,6.5,147,57,1,1,95.2
Meghalaya,Shillong,112596.41,10000.0,53183.0,23516,5,3,4.81,122,60,0,2,101.22
Madhya Pradesh,Indore,146287.39,15000.0,90611.0,32021,6,1,6.01,103,70,0,1,99.81
Himachal Pradesh,Dharamshala,136001.69,15000.0,73545.0,39860,3,1,5.75,76,65,0,2,107.1
Rajasthan,Udaipur,155637.45,20000.0,75819.0,17042,4,0,7.14,127,57,1,3,102.8
Madhya Pradesh,Gwalior,,20000.0,62506.0,28886,7,1,5.15,131,51,1,2,103.53
Himachal Pradesh,Dharamshala,86169.09,15000.0,70839.0,38993,3,1,3.9,117,70,1,5,96.24
Karnataka,Bangalore,147935.96,15000.0,76836.0,31468,6,0,3.77,140,62,1,2,97.53
Bihar,Muzaffarpur,,10000.0,65801.0,32121,7,0,5.15,100,64,1,3,106.24
Arunachal Pradesh,Tawang,154110.15,10000.0,71762.0,27260,5,0,7.44,104,80,1,3,102.42
Goa,Vasco da Gama,,20000.0,95794.0,19784,6,1,5.98,120,67,0,3,97.43
Maharashtra,Nashik,187704.29,10000.0,48749.0,21382,5,2,6.47,103,60,1,1,95.07
Bihar,Patna,142084.02,15000.0,77768.0,26310,7,0,7.35,152,66,1,3,100.36
Goa,Panaji,243401.65,10000.0,63218.0,16487,7,2,6.15,140,59,1,5,99.95
Odisha,Rourkela,149804.37,10000.0,,18436,5,0,5.91,101,74,0,2,100.73
Goa,,185024.85,15000.0,72289.0,32087,3,3,4.25,75,69,1,5,95.33
Arunachal Pradesh,Ziro,112269.78,10000.0,59292.0,35653,4,1,4.66,115,61,1,2,108.78
Nagaland,Dimapur,,15000.0,71765.0,22098,4,1,7.02,111,72,1,3,101.09
Madhya Pradesh,Jabalpur,163754.67,10000.0,80244.0,15724,7,1,5.53,114,67,0,2,106.08
Himachal Pradesh,Kullu,147174.69,15000.0,116634.0,15090,6,1,6.95,103,67,1,1,97.98
Tamil Nadu,Madurai,124912.11,15000.0,43352.0,33153,5,3,3.56,106,64,1,4,95.31
Odisha,Cuttack,118098.49,15000.0,57013.0,15676,6,3,5.52,87,65,0,1,105.98
Madhya Pradesh,Indore,164117.63,15000.0,94578.0,25419,5,0,4.76,117,70,1,5,108.52
Karnataka,Mangalore,181446.96,10000.0,,37954,6,2,4.62,44,57,1,3,103.51
Andhra Pradesh,Nellore,,15000.0,75144.0,19204,5,1,6.94,105,79,1,4,97.53
Telangana,Karimnagar,164363.4,15000.0,67749.0,38073,7,0,6.85,123,63,1,1,105.46
Sikkim,Gangtok,148104.27,,,19796,3,0,7.08,83,60,1,3,109.15
Gujarat,Ahmedabad,154926.3,10000.0,72417.0,33758,4,1,5.22,116,58,0,4,109.49
Tripura,Udaipur,139977.75,10000.0,70009.0,34906,6,0,7.35,98,61,0,5,102.81
Rajasthan,Udaipur,150898.63,10000.0,90855.0,19780,4,1,4.78,74,72,1,1,107.73
Manipur,Thoubal,284902.02,10000.0,94924.0,23872,6,1,7.46,58,64,0,3,106.35
Andhra Pradesh,Visakhapatnam,165581.71,10000.0,81394.0,21067,7,1,6.53,66,61,1,4,100.51
Kerala,Kochi,,15000.0,71458.0,29913,7,3,6.12,102,71,0,4,101.11
Uttar Pradesh,Kanpur,,20000.0,78877.0,16291,6,2,7.06,137,62,0,4,101.18
Gujarat,Surat,136859.16,20000.0,87075.0,34069,6,1,6.03,84,61,0,1,95.7
Manipur,Imphal,214699.46,10000.0,90025.0,24974,6,1,5.18,69,53,0,5,104.78
Rajasthan,,135441.81,,80550.0,33703,7,1,4.95,123,58,0,5,103.41
Odisha,Bhubaneswar,,20000.0,97914.0,35738,3,2,4.06,78,62,1,2,106.37
West Bengal,Siliguri,133289.65,20000.0,65752.0,22066,3,1,5.42,71,54,1,2,99.99
Tripura,Kailashahar,102001.37,20000.0,92099.0,23429,6,3,6.66,92,79,1,5,95.75
Andhra Pradesh,Visakhapatnam,168269.81,15000.0,85565.0,37463,5,2,4.05,132,69,0,3,103.26
Mizoram,Lunglei,94766.58,15000.0,,31288,3,2,7.21,88,62,1,4,107.32
Mizoram,Champhai,176782.01,15000.0,78490.0,31687,7,0,4.38,59,73,1,3,107.56
Assam,Guwahati,,15000.0,79521.0,33010,7,1,7.34,136,60,1,3,107.0
Kerala,,134049.6,20000.0,72869.0,31087,7,2,5.33,101,87,1,3,103.38
Goa,Margao,78413.52,15000.0,72705.0,16253,4,2,4.05,119,75,1,4,105.99
Uttar Pradesh,Kanpur,291208.35,15000.0,52127.0,31026,4,1,3.95,84,74,1,3,96.81
Karnataka,Mysore,67302.02,15000.0,64660.0,24118,7,1,6.15,91,72,1,1,97.9
Assam,,150490.69,15000.0,71424.0,16998,3,2,6.74,91,49,0,3,109.58
Haryana,Ambala,,20000.0,66411.0,24634,4,0,3.73,62,63,0,5,101.2
Maharashtra,Nagpur,201819.3,10000.0,62165.0,35643,5,0,7.16,108,47,1,1,101.03
Maharashtra,Pune,192567.11,15000.0,90916.0,28207,6,1,3.65,94,69,1,2,96.16
Jharkhand,Bokaro,134138.58,10000.0,73441.0,30504,4,1,5.68,94,65,1,3,101.72
Arunachal Pradesh,Ziro,217554.45,20000.0,107501.0,17401,4,1,5.56,105,78,0,5,104.88
Maharashtra,Pune,195669.55,10000.0,78341.0,34133,3,2,6.72,110,74,1,1,106.11
Himachal Pradesh,Dharamshala,160614.98,20000.0,90602.0,22296,3,1,5.83,107,56,1,4,100.59
Assam,Guwahati,162029.04,10000.0,71878.0,36445,5,1,4.85,91,45,1,3,109.33
Rajasthan,Kota,,10000.0,65074.0,21852,5,0,5.82,79,61,1,2,101.92
Uttar Pradesh,Agra,104517.4,15000.0,78942.0,15860,5,2,7.3,118,56,1,5,102.3
Haryana,Faridabad,211857.55,15000.0,94432.0,36317,5,2,3.99,69,62,1,1,104.89
Meghalaya,Shillong,215610.4,15000.0,73663.0,24470,4,2,6.13,104,58,1,4,96.84
Arunachal Pradesh,Tawang,105794.54,10000.0,81701.0,31864,5,1,4.17,103,73,1,1,105.02
Goa,Margao,142310.74,15000.0,78863.0,28932,5,1,4.32,77,75,0,4,100.46
West Bengal,Kolkata,142828.84,10000.0,73529.0,29757,7,2,7.39,87,57,1,5,95.42
Rajasthan,Jodhpur,148367.2,20000.0,74297.0,16971,4,2,6.8,115,91,1,1,106.69
Uttar Pradesh,Agra,153214.74,15000.0,60022.0,39683,4,1,7.14,81,62,0,1,109.09
Tripura,Agartala,197343.07,15000.0,74833.0,20820,4,1,4.11,107,56,1,1,103.62
Kerala,Thrissur,112639.13,15000.0,84799.0,35297,6,1,5.15,77,78,1,5,100.45
Chhattisgarh,Durg,107682.65,20000.0,79435.0,30640,5,0,6.57,94,79,0,1,105.45
Arunachal Pradesh,,,20000.0,77762.0,25203,5,0,6.09,89,66,1,1,108.58
Meghalaya,Jowai,126867.76,20000.0,85875.0,17162,5,0,4.1,108,76,1,1,99.72
Chhattisgarh,Korba,86848.23,10000.0,77924.0,31930,3,0,5.26,90,58,0,3,103.42
Manipur,Bishnupur,125743.5,20000.0,75208.0,26054,3,0,4.47,105,60,0,1,98.61
Kerala,Kozhikode,133497.36,15000.0,86027.0,38199,3,1,4.85,71,69,1,5,104.64
Bihar,Bhagalpur,227748.14,20000.0,77048.0,17686,6,0,7.15,104,64,1,5,106.86
Manipur,Imphal,196241.31,15000.0,71451.0,35269,5,0,4.48,95,57,0,1,98.2
Karnataka,Mysore,207376.03,20000.0,82024.0,39099,4,0,5.0,77,66,1,4,103.32
Meghalaya,Jowai,190998.68,15000.0,74471.0,33502,4,1,5.57,82,65,0,1,97.68
Tamil Nadu,Madurai,197312.18,15000.0,70777.0,23585,7,1,3.78,97,63,1,3,102.11
Goa,Margao,115595.89,15000.0,77331.0,29945,3,2,7.06,83,72,1,2,105.13
Maharashtra,Nagpur,140069.89,15000.0,77506.0,25848,6,0,5.36,81,81,1,2,95.49
Nagaland,Mokokchung,100504.23,15000.0,58445.0,19633,7,2,4.94,130,54,0,3,106.14
Kerala,Kochi,139475.6,15000.0,79998.0,28487,6,1,5.41,100,73,0,4,100.35
Uttarakhand,Nainital,184205.25,15000.0,102697.0,31559,4,0,6.2,122,88,1,1,103.43
Karnataka,Mangalore,156729.16,15000.0,60305.0,21156,5,1,5.95,86,47,0,1,101.97
Madhya Pradesh,Gwalior,215574.04,15000.0,67461.0,19765,4,2,5.81,96,72,0,5,106.69
Rajasthan,Jaipur,92929.21,10000.0,116700.0,19319,4,1,4.72,74,68,0,1,106.14
Tamil Nadu,Tiruchirapalli,175011.92,,62668.0,18525,3,3,5.24,127,63,1,3,95.04
Karnataka,Mysore,87584.86,15000.0,94295.0,15483,4,1,6.29,83,54,0,1,97.2
Tamil Nadu,Madurai,154708.82,10000.0,71569.0,21337,6,1,6.99,110,70,1,5,98.59
Meghalaya,Jowai,187016.67,15000.0,75902.0,23503,5,2,4.05,99,73,1,3,102.7
Manipur,Bishnupur,139274.87,10000.0,,20405,3,2,6.86,134,62,0,2,99.52
Rajasthan,Jodhpur,,10000.0,81385.0,21710,7,0,6.69,116,65,1,5,96.78
West Bengal,,102013.38,15000.0,51303.0,36209,4,1,6.47,99,45,0,5,96.25
Manipur,Bishnupur,66815.5,15000.0,77793.0,20336,3,1,5.35,90,70,1,1,100.8
Tripura,Dharmanagar,177851.48,10000.0,68949.0,28728,3,1,5.75,124,56,0,4,100.9
Bihar,Gaya,,15000.0,47053.0,15517,3,3,5.41,61,63,1,2,105.11
Karnataka,Mangalore,100197.75,20000.0,91813.0,23455,6,1,5.54,90,55,0,3,97.12
Odisha,Rourkela,211109.71,10000.0,43387.0,19936,7,2,5.97,117,60,0,3,100.81
Manipur,Churachandpur,152171.17,10000.0,107226.0,23407,3,0,5.47,89,72,1,5,99.73
Bihar,Bhagalpur,83215.42,,84254.0,21469,6,0,5.72,91,52,1,4,102.2
Rajasthan,Jodhpur,93424.73,15000.0,54585.0,17599,7,2,6.15,121,63,1,1,107.26
Madhya Pradesh,Bhopal,150789.24,15000.0,95071.0,36071,5,1,4.59,148,60,1,2,100.04
Sikkim,,,10000.0,63744.0,25000,6,4,6.36,92,77,1,3,109.9
Odisha,Bhubaneswar,84354.35,15000.0,64427.0,19439,3,0,7.38,76,63,0,2,109.2
Arunachal Pradesh,,65298.04,15000.0,,29214,4,1,4.28,99,52,1,3,98.33
Maharashtra,Nashik,107664.03,,62040.0,37311,6,1,7.17,105,65,0,3,102.73
Bihar,Muzaffarpur,159690.45,15000.0,63807.0,16127,5,1,5.2,97,50,1,3,108.69
Meghalaya,Nongstoin,149679.96,15000.0,,25747,7,1,7.16,88,70,1,3,105.71
Rajasthan,Kota,124938.1,20000.0,92507.0,33745,5,0,5.18,103,47,1,5,108.1
Punjab,Jalandhar,160094.36,,56388.0,31730,7,0,6.36,90,65,1,2,106.99
Maharashtra,Nashik,202001.34,10000.0,79058.0,38497,6,1,5.73,77,72,1,1,104.31
Uttarakhand,,169706.33,20000.0,47396.0,21965,7,0,6.5,94,58,1,3,104.87
Manipur,Thoubal,143934.57,15000.0,79115.0,29344,3,1,6.31,105,80,1,5,98.87
West Bengal,Durgapur,196403.6,15000.0,107431.0,21962,6,2,7.34,122,65,1,5,97.79
Assam,Jorhat,102007.48,15000.0,48302.0,23456,4,1,4.66,129,47,0,3,103.57
Haryana,Ambala,138754.02,15000.0,59780.0,26437,5,0,7.22,98,58,0,1,96.28
Meghalaya,Jowai,139945.6,10000.0,85909.0,31761,5,0,4.51,86,77,1,4,98.8
Jharkhand,Jamshedpur,88152.34,15000.0,87677.0,34325,6,1,6.65,102,66,1,2,104.12
Bihar,Patna,129006.29,15000.0,60883.0,21937,4,2,5.46,109,34,0,4,96.42
Nagaland,Dimapur,50000.0,10000.0,97103.0,37689,6,1,3.79,68,76,1,5,104.43
Arunachal Pradesh,Tawang,245608.9,15000.0,62766.0,18810,3,2,3.64,94,64,1,1,103.0
Mizoram,Lunglei,103129.31,,100102.0,26391,3,1,5.58,91,67,1,5,97.06
Madhya Pradesh,Jabalpur,229305.71,15000.0,82029.0,17074,4,1,3.64,114,54,0,3,102.49
Bihar,,151904.23,15000.0,94068.0,26347,6,3,7.29,103,62,1,1,105.7
Uttar Pradesh,Varanasi,178243.21,25000.0,80562.0,24431,4,1,4.16,101,59,1,1,103.53
Tripura,Agartala,125560.01,15000.0,84854.0,35050,4,0,5.44,134,66,1,5,108.28
Karnataka,Bangalore,160396.48,10000.0,85651.0,30377,3,1,5.01,87,66,1,1,109.23
Gujarat,Rajkot,182524.48,15000.0,92171.0,34761,3,0,5.6,88,77,1,3,100.46
Kerala,Kozhikode,183227.62,10000.0,74507.0,33218,4,2,4.33,107,71,1,4,98.9
Jharkhand,Ranchi,188738.67,15000.0,61501.0,26304,4,2,6.97,84,70,0,5,101.08
Gujarat,Ahmedabad,131583.36,,73815.0,25187,7,1,3.55,101,68,1,2,101.91
Madhya Pradesh,Jabalpur,125982.02,15000.0,,37727,3,0,5.79,135,66,1,5,97.79
Gujarat,Vadodara,70291.18,15000.0,65968.0,30715,4,1,4.89,124,79,1,5,106.13
Telangana,Karimnagar,,15000.0,99821.0,22220,7,1,4.36,80,62,1,4,108.72
Mizoram,Aizawl,204118.94,10000.0,84340.0,35559,4,2,4.35,59,53,0,3,102.14
Jharkhand,,,15000.0,83651.0,24484,7,0,4.23,58,47,1,2,95.82
Jharkhand,Dhanbad,165258.63,15000.0,91089.0,19889,4,1,5.91,105,53,1,5,109.76
Telangana,Karimnagar,111676.01,10000.0,84262.0,24817,6,3,7.07,83,76,1,2,100.17
Bihar,,65145.19,20000.0,103006.0,27534,3,0,5.09,94,63,0,3,98.29
Punjab,Amritsar,202083.34,10000.0,43580.0,37583,4,1,4.16,90,68,1,5,100.67
Bihar,Patna,60186.17,,60036.0,23380,5,3,3.71,98,60,1,4,101.89
Sikkim,Namchi,132969.8,15000.0,64489.0,22667,5,2,6.78,83,65,1,3,99.49
Gujarat,Vadodara,138784.66,15000.0,54364.0,18505,7,0,4.39,86,60,1,3,101.56
Sikkim,Namchi,146527.24,10000.0,76693.0,18220,3,3,6.44,146,63,0,1,108.93
Andhra Pradesh,Guntur,151790.13,15000.0,77398.0,29599,7,2,5.62,96,66,1,1,104.43
Kerala,Kochi,156907.38,20000.0,104630.0,36216,3,2,6.05,101,66,1,2,99.84
Telangana,Hyderabad,50000.0,15000.0,88556.0,30301,5,1,5.8,95,50,1,1,95.11
Madhya Pradesh,Bhopal,150732.8,20000.0,67387.0,32087,5,1,7.31,112,64,0,4,104.17
Jharkhand,Bokaro,50000.0,15000.0,82415.0,30793,7,1,3.91,126,55,1,2,101.01
Manipur,Imphal,186610.9,20000.0,47595.0,24601,6,1,6.13,52,53,1,1,102.0
Uttarakhand,Almora,,,77133.0,15839,5,0,3.96,82,66,1,2,108.09
Madhya Pradesh,Jabalpur,50000.0,15000.0,76331.0,25821,3,2,4.28,106,52,1,1,101.71
Tamil Nadu,Chennai,109289.77,15000.0,61468.0,33949,4,2,6.2,124,52,1,5,97.09
Sikkim,Namchi,121496.23,20000.0,71982.0,15533,4,2,5.98,65,56,1,5,103.12
Sikkim,Gangtok,209534.98,10000.0,64611.0,27760,4,1,5.44,86,53,1,3,105.58
Rajasthan,Udaipur,159831.89,20000.0,61011.0,31045,5,1,6.59,100,40,1,4,99.5
Sikkim,Namchi,167222.25,15000.0,85117.0,27894,6,0,6.27,87,64,1,3,98.74
West Bengal,Siliguri,209061.08,15000.0,90508.0,29242,5,0,3.73,128,68,1,3,100.6
Himachal Pradesh,Dharamshala,145192.79,10000.0,82649.0,25225,3,2,6.12,113,77,1,3,100.92
Uttar Pradesh,Agra,,20000.0,68428.0,16341,5,3,5.05,131,63,1,4,97.76
Himachal Pradesh,Kullu,184193.06,15000.0,65061.0,16621,5,1,5.38,106,61,1,4,104.53
Manipur,Thoubal,85676.53,20000.0,68895.0,35079,5,0,5.59,158,67,1,3,106.58
Jharkhand,Bokaro,223649.18,15000.0,71699.0,38192,5,1,4.84,109,74,1,5,104.28
Telangana,Hyderabad,78984.91,10000.0,61918.0,18537,3,0,5.29,99,78,0,5,102.55
Uttar Pradesh,Lucknow,195868.33,,90807.0,37344,5,1,5.74,131,67,1,2,103.6
Tripura,Dharmanagar,74146.35,15000.0,71965.0,38413,6,1,3.74,97,80,1,5,102.7
Jharkhand,,180061.84,,86473.0,15672,7,0,5.79,87,78,0,2,101.96
Haryana,,,15000.0,54001.0,31746,3,2,4.89,84,58,1,4,95.42
Telangana,,139351.07,15000.0,64674.0,18079,6,2,5.79,91,36,1,5,103.11
Meghalaya,Shillong,137182.22,15000.0,87890.0,16383,4,1,5.28,79,54,1,3,96.12
Mizoram,Lunglei,180522.0,15000.0,88103.0,39183,4,2,4.23,95,59,0,2,103.2
Uttar Pradesh,Lucknow,133530.18,15000.0,56962.0,39716,3,1,3.94,105,58,1,4,102.45
Uttarakhand,Nainital,240913.94,10000.0,79546.0,37844,7,2,7.0,110,61,1,4,107.82
Chhattisgarh,Korba,159609.61,20000.0,79939.0,17287,5,0,5.08,93,54,1,2,101.17
Bihar,Muzaffarpur,133991.52,15000.0,64376.0,27793,3,2,5.96,63,70,0,2,109.29
Nagaland,Mokokchung,122985.72,,80354.0,15628,5,0,3.84,107,58,1,1,101.87
Telangana,Warangal,,10000.0,51293.0,16649,5,0,5.14,101,63,1,1,109.22
Odisha,Sambalpur,118612.25,,61096.0,22477,4,2,6.33,74,63,1,1,97.36
Bihar,Bhagalpur,132466.33,15000.0,83984.0,39731,7,1,7.38,88,68,1,2,108.12
West Bengal,,125618.05,15000.0,,35692,5,2,5.72,109,71,1,4,106.69
Gujarat,Surat,117091.24,15000.0,76221.0,17844,3,2,4.2,114,71,0,4,98.64
Jharkhand,Bokaro,,20000.0,72373.0,25332,4,1,3.55,63,71,0,2,109.94
Tripura,Dharmanagar,98495.25,15000.0,83053.0,18260,5,0,4.92,124,84,0,1,98.92
Nagaland,Dimapur,157331.63,15000.0,83776.0,18315,4,0,5.12,116,65,1,3,102.45
Odisha,Bhubaneswar,179626.05,10000.0,86872.0,23008,4,0,5.49,106,66,1,1,105.87
Bihar,Gaya,181505.4,15000.0,76885.0,18783,3,1,3.52,85,65,1,4,95.06
Jharkhand,Bokaro,147069.65,20000.0,69173.0,27088,3,5,6.39,124,65,0,2,100.23
Andhra Pradesh,Nellore,137964.87,10000.0,66644.0,39620,6,0,6.12,80,63,0,2,103.55
Tamil Nadu,Madurai,172577.37,15000.0,59147.0,31976,5,2,3.57,104,57,1,5,103.92
Nagaland,Mokokchung,163326.08,10000.0,68958.0,38254,4,2,4.83,79,55,0,4,106.45
Chhattisgarh,Bilaspur,137052.06,20000.0,65904.0,16998,6,0,4.97,80,68,1,3,103.14
Manipur,Churachandpur,71906.07,,99023.0,35621,3,3,4.64,61,53,1,3,109.85
Mizoram,Aizawl,126603.81,15000.0,59295.0,38256,7,1,4.68,106,60,0,3,104.78
Assam,Dibrugarh,92672.49,10000.0,90560.0,18056,4,0,5.23,86,74,0,5,104.73
Kerala,Thiruvananthapuram,116642.02,15000.0,70983.0,25159,7,0,6.31,88,63,1,5,101.64
Arunachal Pradesh,Pasighat,151661.16,10000.0,71902.0,36649,7,4,6.2,107,61,1,1,101.94
Andhra Pradesh,Vijayawada,167936.81,15000.0,81017.0,26935,4,1,5.14,129,67,1,3,102.39
Tamil Nadu,Coimbatore,239022.64,10000.0,53721.0,28165,6,1,5.98,100,73,1,3,109.4
Rajasthan,Kota,123129.68,15000.0,63000.0,23819,6,0,3.78,96,53,1,2,103.71
Mizoram,Serchhip,188731.28,10000.0,56382.0,31526,4,3,6.58,97,65,0,3,95.81
Sikkim,Gangtok,165298.0,10000.0,69296.0,39484,5,1,5.27,103,46,1,1,104.9
Meghalaya,Shillong,214799.88,10000.0,61362.0,27044,7,1,3.86,105,72,1,5,97.55
Chhattisgarh,Raipur,178811.44,15000.0,94757.0,21847,6,3,4.99,121,63,1,4,101.27
Manipur,,99575.93,15000.0,66249.0,28458,4,0,6.33,81,76,1,4,96.39
Assam,Silchar,63847.7,10000.0,39322.0,33004,3,2,3.99,70,76,0,4,97.34
West Bengal,Howrah,165563.08,15000.0,69983.0,29903,3,0,6.76,86,63,0,1,106.34
Gujarat,Surat,123577.45,20000.0,87111.0,38844,4,1,6.33,91,57,1,1,100.5
Karnataka,Mangalore,100984.31,10000.0,99454.0,18641,5,0,3.83,72,66,0,5,95.72
Jharkhand,Jamshedpur,86621.11,20000.0,71557.0,17056,3,1,7.41,122,66,1,5,105.86
Himachal Pradesh,Dharamshala,158048.77,15000.0,67246.0,27419,5,2,7.27,111,63,1,2,95.1
Maharashtra,Nashik,225385.38,10000.0,74783.0,38110,4,3,4.03,86,72,0,1,107.1
Madhya Pradesh,Indore,129566.38,15000.0,81225.0,25124,4,2,4.31,90,80,1,2,103.37
Tripura,Agartala,179513.52,15000.0,58066.0,34646,7,0,4.89,68,69,0,4,107.82
Tripura,,,15000.0,71333.0,30463,4,1,7.46,62,68,1,4,99.19
Arunachal Pradesh,Itanagar,85530.9,10000.0,74256.0,29582,5,0,6.32,85,79,1,4,97.55
Assam,Jorhat,186740.57,,75687.0,22998,6,1,7.16,85,70,0,2,96.01
Gujarat,Rajkot,95265.4,15000.0,72831.0,26324,3,0,4.6,75,66,1,3,105.5
Rajasthan,Kota,151081.33,15000.0,60963.0,37947,3,2,6.98,122,62,1,5,108.65
Nagaland,Mokokchung,132923.98,10000.0,80081.0,35743,7,0,3.94,94,51,1,5,105.51
Assam,Guwahati,194653.87,10000.0,74331.0,31985,6,2,7.48,85,73,1,2,104.17
Jharkhand,Dhanbad,,15000.0,74294.0,36999,5,0,3.93,88,74,1,2,95.09
Sikkim,,169543.5,15000.0,58762.0,29233,5,1,5.25,100,55,1,3,100.43
Gujarat,Surat,108010.13,15000.0,84602.0,16068,7,1,6.78,72,58,1,4,109.14
Himachal Pradesh,Manali,124444.74,15000.0,60780.0,37441,4,2,6.9,109,48,1,2,103.19
Mizoram,Champhai,,10000.0,99246.0,19365,6,2,6.95,89,60,1,4,98.95
Karnataka,Mangalore,254604.93,15000.0,57311.0,33281,3,0,4.65,107,73,0,3,96.82
Gujarat,Vadodara,177527.85,10000.0,86433.0,24708,6,4,6.14,88,67,1,5,100.89
Telangana,Karimnagar,111632.63,15000.0,46377.0,33807,7,0,4.34,112,70,1,2,97.12
West Bengal,,93767.22,15000.0,,27851,4,1,5.48,120,59,1,3,109.37
Maharashtra,Mumbai,125217.56,15000.0,66678.0,33372,6,2,6.89,105,58,1,2,107.61
Odisha,Rourkela,,20000.0,41104.0,36172,4,1,5.14,78,72,1,1,102.12
Bihar,Muzaffarpur,55395.75,,85945.0,34956,6,1,3.94,48,62,1,1,109.86
Uttar Pradesh,Agra,142920.78,20000.0,74672.0,35274,3,1,3.6,49,59,0,5,97.26
Goa,Mapusa,238532.09,10000.0,96015.0,23140,5,3,7.1,106,65,1,4,97.44
Jharkhand,Bokaro,93302.68,15000.0,72492.0,24345,6,2,3.99,62,54,1,2,97.4
Gujarat,Rajkot,154019.25,10000.0,78647.0,24775,5,0,7.0,99,71,0,3,97.09
Madhya Pradesh,Indore,260165.49,15000.0,70977.0,39013,5,1,3.88,98,61,1,4,102.39
Maharashtra,Nashik,181607.58,20000.0,61891.0,22088,5,0,4.47,96,55,1,2,106.6
Bihar,,156296.19,15000.0,68898.0,30170,7,1,6.41,83,43,1,4,104.63
Haryana,Gurgaon,175331.82,15000.0,56940.0,17127,3,2,4.2,79,62,1,2,101.31
Chhattisgarh,Raipur,129956.73,15000.0,80811.0,25376,5,1,7.03,116,62,1,4,95.44
Andhra Pradesh,Guntur,214981.56,20000.0,70382.0,29950,3,1,4.4,94,62,1,2,100.15
Bihar,Muzaffarpur,130033.5,10000.0,73496.0,15001,6,1,4.97,118,49,1,4,99.1
Assam,Dibrugarh,52040.92,20000.0,117355.0,19170,3,1,6.97,103,67,0,1,98.48
Himachal Pradesh,,130434.84,15000.0,68954.0,20079,4,0,4.87,96,71,1,3,100.89
Haryana,Ambala,101663.27,10000.0,79706.0,36724,5,1,5.85,90,50,1,4,105.33
Andhra Pradesh,Vijayawada,135940.3,,74187.0,33189,6,2,4.8,88,61,1,5,106.16
Uttarakhand,Dehradun,137045.8,,92363.0,26247,5,0,5.41,96,53,0,4,97.83
Goa,Margao,209871.16,15000.0,78576.0,31310,5,1,5.38,95,59,1,3,104.23
